Card,Rarity,Type,Faction,Function,Copies
Market Forces,R,Operation,nbn,Economy,
AMAZE Amusements,N,Upgrade,nbn,Engine,4.0
Calibration Testing,N,Upgrade,nbn,Engine,
SanSan City Grid,N,Upgrade,nbn,Engine,1.0
Keegan Lane,R,Upgrade,nbn,Engine,
Arella Salvatore,R,Upgrade,nbn,Engine,2.0
Ganked!,R,Upgrade,nbn,Engine,
Vladisibirsk City Grid,R,Upgrade,nbn,Engine,
Global Food Initiative,C,Agenda,Neutral,Agenda,4.0
Send a Message,C,Agenda,Neutral,Agenda,7.0
Corporate Sales Team,C,Agenda,Neutral,Agenda,
Show of Force,N,Agenda,Neutral,Win Condition,
False Lead,N,Agenda,Neutral,Win Condition,2.0
Gila hand Archology,N,Agenda,Neutral,Economy,4.0
Merger,N,Agenda,Neutral,Agenda,1.0
NAPD Contract,R,Agenda,Neutral,Agenda,1.0
Cyberdex Sandbox,R,Agenda,Neutral,Agenda,1.0
Offworld Office,R,Agenda,Neutral,Agenda,
SSL Endorsement,R,Agenda,Neutral,Agenda,
CSR Campaign,C,Asset,Neutral,Economy,5.0
Tech Startup,N,Asset,Neutral,Engine,1.0
Lady Liberty,R,Asset,Neutral,Engine,
Sandburg,R,Asset,Neutral,Engine,
Museum of History,R,Asset,Neutral,Engine,1.0
Owl,C,Ice,Neutral,Sentry,3.0
Rainbow,C,Ice,Neutral,Multi,2.0
Quicksand,C,Ice,Neutral,Barrier,4.0
Datapike,C,Ice,Neutral,CodeGate,4.0
Paper Wall,C,Ice,Neutral,Barrier,5.0
Bastion,C,Ice,Neutral,Barrier,4.0
Palisade,C,Ice,Neutral,Barrier,2.0
Assassin,C,Ice,Neutral,Sentry,3.0
Whitespace,C,Ice,Neutral,CodeGate,8.0
Rime,N,Ice,Neutral,Mythic,
Lancelot,N,Ice,Neutral,Sentry,2.0
Grim,N,Ice,Neutral,Sentry,
Chimera,N,Ice,Neutral,Mythic,1.0
Merlin,N,Ice,Neutral,CodeGate,
Galahad,N,Ice,Neutral,Barrier,3.0
Tithe,N,Ice,Neutral,Sentry,1.0
Cobra,N,Ice,Neutral,Sentry,2.0
Macrophage,N,Ice,Neutral,Tech,
Enigma,N,Ice,Neutral,CodeGate,3.0
Guard,R,Ice,Neutral,Sentry,1.0
Quandary,R,Ice,Neutral,CodeGate,1.0
Mother Goddess,R,Ice,Neutral,Mythic,1.0
Exalibur,R,Ice,Neutral,Mythic,
Vanilla,R,Ice,Neutral,Barrier,1.0
Hedge Fund,C,Operation,Neutral,Economy,6.0
Melange Mining Corp,C,Operation,Neutral,Economy,1.0
PAD Campaign,C,Operation,Neutral,Economy,3.0
Regolith Mining License,C,Operation,Neutral,Economy,5.0
Mumba Temple,C,Operation,Neutral,Economy,1.0
Subliminal Messaging,N,Operation,Neutral,Economy,3.0
Restructure,N,Operation,Neutral,Economy,
IPO,N,Operation,Neutral,Economy,1.0
Launch Campaign,N,Operation,Neutral,Economy,1.0
Best Defense,N,Operation,Neutral,Tech,2.0
NGO Front,R,Operation,Neutral,Economy,
Rashida Jaheem,R,Operation,Neutral,Economy,
NASX,R,Operation,Neutral,Economy,1.0
Prisec,N,Upgrade,Neutral,Engine,
Mumbad Virtual Tour,N,Upgrade,Neutral,Engine,5.0
Cyberdex Virus Suite,N,Upgrade,Neutral,Tech,2.0
Breaker Bay Grid,N,Upgrade,Neutral,Engine,2.0
High-Risk Investment,C,Agenda,weyland,Agenda,8.0
Geothermal Fracking,C,Agenda,weyland,Agenda,2.0
Armed Intimidation,C,Agenda,weyland,Agenda,3.0
Oaktown Renovation,C,Agenda,weyland,Agenda,1.0
Project Atlas,N,Agenda,weyland,Agenda,3.0
Hostile Takeover,N,Agenda,weyland,Agenda,4.0
Regulatory Capture,N,Agenda,weyland,Agenda,1.0
Azef Protocol,N,Agenda,weyland,Agenda,1.0
SDS Drown Deployment,N,Agenda,weyland,Agenda,4.0
Government Takeover,R,Agenda,weyland,Agenda,1.0
City Works Project,R,Agenda,weyland,Agenda,
Above the Law,R,Agenda,weyland,Agenda,1.0
Baliff,C,Ice,weyland,Barrier,5.0
Fire Wall,C,Ice,weyland,Barrier,
Veritas,C,Ice,weyland,Sentry,1.0
Wormhole,C,Ice,weyland,CodeGate,4.0
Border Control,N,Ice,weyland,Barrier,1.0
Spiderweb,N,Ice,weyland,Barrier,2.0
Tour Guide,N,Ice,weyland,Sentry,1.0
Afshar,N,Ice,weyland,CodeGate,3.0
Surveyor,N,Ice,weyland,Sentry,2.0
Akhet,R,Ice,weyland,Barrier,1.0
Mausolus,R,Ice,weyland,CodeGate,
Archer,R,Ice,weyland,Sentry,
The Root,N,Asset,weyland,Economy,1.0
Superdeep Borehole,N,Asset,weyland,Engine,
Capital Investors,C,Asset,weyland,Economy,5.0
Indian Union Stock Exchange,C,Asset,weyland,Economy,4.0
Contract Killer,N,Asset,weyland,Engine,1.0
Drudge Work,C,Asset,weyland,Economy,1.0
Clearinghouse,N,Asset,weyland,Engine,1.0
Svyatogor Excavator,R,Asset,weyland,Economy,1.0
Executive Boot Camp,N,Asset,weyland,Engine,1.0
Urban Renewal,N,Asset,weyland,Engine,2.0
Wall to Wall,N,Asset,weyland,Economy,2.0
Zealous Judge,R,Asset,weyland,Engine,2.0
Reconstruction Contract,R,Asset,weyland,Engine,
Commercial Bankers Group,N,Asset,weyland,Economy,2.0
Amazon Industrial Zone,N,Upgrade,weyland,Economy,3.0
The Twins,N,Upgrade,weyland,Economy,1.0
Off the Grid,R,Upgrade,weyland,Engine,
Malapert Data Vault,C,Upgrade,weyland,Engine,3.0
Oberth Protocol,R,Upgrade,weyland,Engine,1.0
Cayambe Grid,R,Upgrade,weyland,Engine,2.0
Crisium Grid,N,Upgrade,weyland,Tech,
Beanstalk Royalties,C,Operation,weyland,Economy,4.0
Extract,N,Operation,weyland,Economy,1.0
Mutually Assured Destruction,R,Operation,weyland,Engine,1.0
Too Big to Fail,R,Operation,weyland,Economy,1.0
Dedication Ceremony,N,Operation,weyland,Engine,1.0
Economic Warfare,N,Operation,weyland,Engine,2.0
Punitive Counterstrike,N,Operation,weyland,Engine,
Consulting Visit,R,Operation,weyland,Engine,
End of the Line,C,Operation,weyland,Engine,3.0
Audacity,N,Operation,weyland,Engine,3.0
High-Profile Target,R,Operation,weyland,Engine,
BOOM!,R,Operation,weyland,Engine,
Scorched Earth,N,Operation,weyland,Engine,2.0
Hedge Fund,C,Operation,Neutral,Economy,6.0
